,code,title,resume,content,keyword
10,MATH-449,Biostatistics,"Biostatistics is about the application of statistics to medicine and life sciences. The course covers various methods and problems that are typical for these areas of application. Despite the applied context, the course treats the topic at a fairly abstract level.","Language en    \nThe analysis of counting data: estimate prob... fr                                                  NaN Name: Contenu, dtype: object","Language en    see content fr            NaN Name: Mot-clef, dtype: object"
11,MATH-105(a),Advanced analysis II,The course studies fundamental concepts of analysis and the calculus of functions of several variables.,-The Euclidean space R^n. -Differentiation of functions of several variables. -Multiple integrals. -Ordinary differential equations.,"Euclidean vector space, Banach space, metric space, continuous function, fixed point theorem, partial derivative, differential, Jacobian, mean value theorem, Hessian, Taylor expansion, gradient, divergence, rotation, Laplacian, linear form, quadratic form, composition rule, inverse function theorem, implicit function theorem, Lagrange multipliers, multiple integrals, ordinary differential equation, Cauchy problem"
12,PHYS-446,Reactor Experiments,"The reactor experiments course aims to introduce the students to radiation detection techniques and nuclear reactor experiments. The core of the course is the unique opportunity to conduct reactor experiments, as the control rod calibration, and approach to critical.","	Radiation detector systems, alpha and beta particles	Radiation detector systems, gamma spectroscopy	Introduction to neutron detectors (He-3, BF3)	Slowing-down area (Fermi age) of Pu-Be neutrons in H2O	Approach-to-critical experiments	Buckling measurements	Reactor power calibration	Control rod calibration","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
13,MATH-441,Robust and nonparametric Statistics,"In the decades from 1930 to 1950, many rank-based statistics were introduced. These methods were received with much interest, because they worked under weak conditions. Starting in the late 1950, a theory of robustness was added. The course gives an overview of these two theories.","I. Robust Statistics  Global and local robustness      indicators: Breakdown point, influence function Hampel's lemma Huber's theory: M-estimators,      L-estimators Robust tests Robust regression  II. Linear Rank Tests  Test of Mann-Whitney-Wilcoxon      and general linear rank tests: asymptotic theory, R-estimators Rank correlations U-statistics Comparison of tests: Pitman      efficacy Permutation tests  III. Estimation of smooth functions  Curve fitting: polynomial      regression, splines Smoothing: non parametric      estimation, degree of smoothness, bias vs. variance, penalization Kernel estimators: definition,      properties Smoothing splines Local regression Wavelets     ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
14,MATH-111(g),Linear Algebra,The purpose of the course is to introduce the basic notions of linear algebra and its applications.,"1.  Linear systems;2.  Matrix algebra;3.  Vector spaces and linear applications;4.  Bases and dimension;5.  Eigenvalues and eigenvectors;6.  Inner product, orthogonality, quadratic forms.","vector space, linearity, matrix, determinant, orthogonality, inner product"
15,PHYS-114,General physics II,The course first develops the basic laws of electricity and magnetism and illustrates the use in understanding various electromagnetic phenomena.  ,ELECTRICITY AND MAGNETISMElectric fields: electric charges and fields; Coulomb's law; Gauss's lawElectric potential and energy: potential; energy; capacitance and capacitors; dielectric materialsMagnetism: magnetic forces and fields; Ampere's law; Biot-Savart lawElectromagnetism: electromotive force; Farady's law; inductance and inductors; Maxwell's equationsElectromagnetic waves: electromagnetic spectrum; antennas,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
16,ENG-272,Fluid mechanics (for SIE),This course helps students acquire basic knowledge of the main concepts and equations of fluid mechanics and develop the skills necessary to work effectively in professional engineering practice.,"    Introduction: Continuum assumption, basic fluid properties  Fluid statics: pressure, forces on immersed body  Flowing fluids and pressure variation: continuity, momentum, energy equations, applications in engineering  Dimensional analysis and similitude  Surface resistance  Flow in conduits  Flow in open channels  Flow measurement   ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
17,ChE-451,Process development I,Familiarize the students with integrated process development and industrial technologies.,Process analysis and description Development strategies Mass and energy balances Industrial equipments Installation concepts Technical limitations Sizing of industrial equipments Energy use Introduction to steam process Design of technical equipment Economical estimations (total product & investment costs)Optimization Influence of process modifications Risk analysis introduction Optimum choice Development program definition Use of process simulation software Scale down and scale up,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
18,BIO-203,Integrated labo in Life sciences I,Students apply basic techniques in molecular biology to clone a cDNA of interest into an expression plasmid in order to produce its protein product in mammalian cells. They purify the recombinant protein and characterize it biochemically.,LISV I+II (annual course) Project: Cloning of a target cDNA and protein expression in mammalian cells. Theory and practice of the following techniques:  Good laboratory practice Sterile technique: work with bacterial and mammalian cells Isolation of total RNA from mouse tissues Quality control of nucleic acids using a NanoDrop spectrophotometer and agarose gel electrophoresis Reverse transcription (synthesis of first strand cDNA) Primer design Polymerase chain reaction (PCR) Restriction enzyme digestion DNA ligation Transformation of competent E.coli cells Restriction mapping Sequence analysis of plasmids Transfection of mammalian cells with plasmid DNA; determination of transfection efficiency Mammalian cell culture Protein quantification of cell lysates SDS polyacrylamide gel electrophoresis of proteins Western blot Affinity purification of histidine-tagged protein Colorimetric enzyme assay Enzyme kinetics ,"cDNA cloning, plasmid DNA transfection, protein expression, protein purification, enzyme assay"
19,HUM-401(a),Artistic practices I,This course offers 2 options: 'innovate' highlights the diversity of practices in the field of design through a project oriented towards speculating on recent technologies; 'filming' studies the question of cinematographic techniques and the making of a short movie.,"Option 1 : A creative toolbox for innovation Each first term course will be focused on the presentation of a creation approach. Sessions will be based on case studies coming from design and contemporary arts with practical activities and exercises: 1. Preliminary research methods: iconographic research, exploration of failures and accidents, role of user observations and evolution of technical objects as inspiration source, observation sketches, role of analogies, mood boards. 2. Creation and prototyping techniques: storyboarding/storytelling, prototyping, graphic design, digital interface creation, sketching, repurposing of standard software (Powerpoint, Excel). During the second semester, students will work on a project based on a specific topic related to the future of a certain technology/domain of activity, based on the approaches described during the first semester. This project will correspond to a ¿design fiction¿, a fictional object or situation that reval a potential future based on a specific technology and its uses. Option 2: Love affairs - Cinéma du réel between fiction and documentary Stimulate and engage students to develop a personal approach in filmmaking by providing technical tools and ideas to realize their projects independently.Presentations that are accompanied by viewing of some film extracts. Perspectives on some theoretical texts of reference. Introduction to basic practices of the sound and image.Approach of editing and postproduction.","Option 1 : creation, design, research, prototyping, repurposing, design-fiction, speculation, foresight Option 2 : Cinema / Movie / Fiction / Documentary / Filming / Story telling / Actors / Frame / Spectator "
20,HUM-432(a),How people learn I,"The students will understand the factors which affect the learning of professionals (such as engineers or teachers). They will understand differences between learning during (a) initial training, (b) induction into the workplace, and (c) the on-going development of experienced professionals. ","Social and Cognitive Factors in Professional Learning General Aim: To enable participants to understand the ways in which professionals learn their profession, in the initial training stage, the induction into practice stage and the continuing professional development stage. General Description of Material:The ability for individuals and organisations to learn is often regarded as central to their survival and success in the contemporary world.  But how do professionals (like teachers, or engineers) learn their profession?  What are the differences between how we learn (a) in initial training, (b) during the transition into work and (c) when an experienced professional? Learning is partially a psychological concept, but professionals operate in social contexts and so an understanding of professional learning also draws on sociological research. Therefore understanding professional learning will involve a multi-disciplinary approach. Plan of the course:Through exploring a number of types of studies on different aspects of learning, participants will build an understanding of some different research approaches which are used in studying learning. Students will also participate in studies and experiments to give them concrete experiences both of research approaches and of adult learning in practice.","Learning, Education, Social and Behavioural Science Research, Interdisciplinary Studies"
21,MICRO-201,Mechanism Design II,"This two semester course develops the creative capabilities of the students in the field of mechanisms design in microengineering. The course focuses on the the knowledge (components, physical principles, dimensioning) as well as on the cognitive processes from which the act of design originates.","Materials for microengineering and their selection criteria Theory and application of solid friction Spring elements Bearings: sliding, rolling, flexible Couplings Transmission of movement and torque Motion laws","Design, creative process, movement, mechanisms, micromechanics, expression"
22,COM-415,Audio signal processing and virtual acoustics,"The objective of the course is to introduce theory, methods, and basic psychoacoustics that is needed to understand state-of-the-art techniques used in pro audio and consumer audio, including microphones, surround sound, auralization, virtual acoustics, mixing, and audio coding.","Acoustics and audio is covered and the manipulation and processing of audio signals. It is shown how Fourier analysis of the soundfield yields to the representation of a soundfield with plane waves. These and other acoustic insights are used to explain microphone techniques and reproduction of the soundfield. Spatial hearing is covered in detail and used to motivate stereo and surround mixing and audio playback. In addition, insights on the principles of auralization and virtual acoustics are given, and the simulation of sound propagation in rooms will be further discussed. The short-time Fourier transform is introduced as a tool for flexible manipulation of audio signals, suchs as filtering, delaying and other spectral modification. Matrix surround, audio coding, and beamforming are also treated.","Language en    acoustics, virtual acoustics, microphones, sur... fr                                                  NaN Name: Mot-clef, dtype: object"
23,CS-453,Concurrent algorithms,"With the advent of multiprocessors, it becomes crucial to master the underlying algorithmics of concurrency. The objective of this course is to study the foundations of concurrent algorithms and in particular the techniques that enable the construction of robust such algorithms.","Model of a parallel system A Multicore architectProcesses and objectsSafety and livenessParallel programmingAutomatic parallelismMutual exclusion and locksNon-blocking data structuresRegister ImplementationsSafe, regular and atomic registersGeneral and limited transactionsAtomic snapshotsHierarchy of objectsThe FLP impssibilityThe consensus numberUniversal constructions Transactional memoriesTransactional algorithmsOpacity and obstruction-freedom","Concurrency, parallelism, algorithms, data structures"
24,MGT-412,Organizational behavior,"This course provides key concepts and tools to understand and influence behaviors of individuals and groups in organizations. Participants will acquire essential knowledge for developing their leadership potential in areas such as decision making, influence, motivation and team dynamics.","Language en    Course framework: The congruence model\nThe co... fr                                                  NaN Name: Contenu, dtype: object","Language en    Organizational behavior, Decision making, Moti... fr                                                  NaN Name: Mot-clef, dtype: object"
25,UNIL-301,"Language fr    Géologie de l'ingénieur Name: Title, dtype: object","Language fr    Le cours donne les bases de géologie de l'ingé... Name: Resume, dtype: object","Language fr    - bases de caractérisation des sols\n- bases d... Name: Contenu, dtype: object","Language fr    géologie de l'ingénieur, géotechnique, hydrogé... Name: Mot-clef, dtype: object"
26,ENV-101,Biology,"Knowledge update and acquisition of specific important concepts for an environmental engineer. A special effort is placed on the diversity of the living world, and more particularly on the role and the functioning of the Prokaryotes in the biosphere.",Introduction to biology  Definition of life Classical taxonomy: basis Cellular structures and functions  Eukaryotic and Prokaryotic cells Photosynthesis Main groups of organisms Viruses Bacteria and Archaea Protozoans Metazoans in general,"cell organism, bacteria, Archaea plants, algae, fungi, photosynthesis"
27,AR-521,From structure to ornament: a cultural history of construction,Theory and history of the relations between architecture and construction from the mid-18th century to the present.,"General argument: The aim of the course is to foster a better understanding of the relations between architecture and construction. The approach will be based on a blend of theory and history, contemporary issues and examples borrowed from the past. The course will question the technological as well as epistemological foundations of the modern notion of structure. It will explore the various issues at stake in the diffusion of new materials in architecture. It will also pay a close attention to the way technology exerts an influence on the very definition of the architectural discipline. A series of fundamental evolutions will serve as the background of the lectures. For instance, the increasing tension between architecture and engineering throughout the 19th and 20th centuries will be repeatedly scrutinized. It will be argued that during the same period of time this tension has constituted a permanent source of architectural and technological innovation. The rise of the modern notion of structure will appear as another major thread. Its study will enable to grasp the full scope of its very recent demise in relation with the so-called return of ornament. Of special interest will be also the way static approaches to architectural objects are being constantly challenged by modes of thinking giving precedence to dynamic processes.   Program: Towards a Cultural History of Construction: Introduction. The Rise of the Modern Notion of Structure in the 18th Century. Iron Construction. From Lime to Concrete: The Invention of a New Material. Building Technologies in the Industrial Age: Lighting, Heating and Ventilation. Art and Technology, from the Beaux-Arts tradition to the Arts and Crafts. Modern Architecture and Technology. Concrete in 20th-Century Architecture and Engineering. The Quest for the Third Dimension: From Space Structures to Tensegrity. Innovative Materials and Structures and Sustainable Development. Digital Culture and Architecture from Cybernetics to Cloud Computing. Ornament, Subjectivty and Politics.","Architecture, Construction, Theory, History."
28,ENV-443,Spatial Decision Support Systems,"The course deals with the methods and instruments supporting decision processes in the geographical space. The focus is on multi-criteria decision analysis, with the special requirements carried by space-related scenarios and solutions, and by the participatory processes among numerous stakeholders.", Situations and cases of decision making in territorial and environmental planning and management Spatial decision processes and steps Spatial decision support processes and tools Multi-criteria decision making (MCDM) and its spatial applications Collaborative/group spatial decision-making Hands-on exercises of MCDM with GIS Cases studies and seminars   ,"Language fr    NaN en    NaN Name: Mot-clef, dtype: object"
29,AR-231,Construction and sustainability III,"Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction.","On the basis of the knowledge acquired in the first year, the Construction angle divides the building into characteristic and recognisable elements in order to introduce the aspects of typology and detail, which will enable students to reconstitute the building as a structure and expressive whole.In parallel, the Materials angle presents the complemetary tools required for the choice of appropriate projects.The course thus favours the acquisition of a creative construction method as a component of a coherent architectural language.It therefore teaches scientific and technical knowledge that will enable students to take acts of construction into account in a rational, hierarchised and concrete way, thus providing them with the resources necessary to introduce the factor of materialisation into architectural projects while being aware of whole gamut of their complexity.At the same time, this specific knowledge is placed in an overall philosophy of architecture and within the framework of reflections on history and doctrine (construction culture), just as it would be in the course of the development of a project (construction project).","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
30,ENG-445,Energy within buildings,The course presents the main methodological elements of energy efficiency in the building with the emphasis on the thermal and the comfort of the user. The technical installations are modeled. The methods of economic and environmental assessment are described as well.,"	General introduction: energy flows in a building.	Heat transfer: conduction, radiation, convection, steady state and dynamic behaviour of opaque and transparent building elements.	Thermal and visual comfort: inside and ouside climate, comfort parameters, Fanger's formalism.	Heat balance: dynamic, steady-state and simplified methods.	Insulation: principle, different types of acoustic and thermal insulation materials.	Humidity in building elements: causes, consequences, water vapor migration, Glaser's model.	Heat production and distribution: energy (electricity, gas, district heating, oil, coal, wood, solar energy), equipments (boiler, heat pump, heat exchanger, solar collector), heat distribution and emission.	Advanced control systems for building services (heating, cooling, ventilation, lighting, solar protections).	Building envelope design: protection against humidity, noise and heat losses.	Energy consumption diagnosis methods: energy consumption index, energy signature, heat production efficiency, airflow measurement.	Economic optimisation and options selection: general methods, free parameters, criteria, annual cost of different solutions, optimal configurations.	Case study: building envelope and heating equipment design with PC's software.",Flow of energy; building;energy efficiency;  comfort; technical installations; evaluation; economy; environment
31,AR-302(a),Studio BA6 (Viganò),"The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.","We need an open perspective on the design of cities and territories. Space is back again at the centre of our preoccupations: as a support which defines conditions, which asks to renew the practice of the urban and territorial project, in between urban design, landscape urbanism, regional and environmental planning. In the common field of the city-territory a new approach must be imagined, starting from individual and collective practices, natural dynamics, rationalization processes. The Alps are a special context in Europe where to study the relation between artificial and natural rationalities. Climate change acts inside this context as a stressor and as a connector. The Alps are crucial in the European space; their modifications can affect territories wider than the Alps themselves. Following the main rivers from the alpine sources to the sea, connecting the upstream territory with the plain downstream can construct an ideal section through the European territory. Strategies of mitigation and adaptation to climate change can be the starting point to re-contextualise the Alps inside Europe and for designing innovative habitat. These are the tasks of the studio. New life-cycles will open up in the Alpine territory in relation to climate change: from the big hydraulic infrastructural works to face the flooding risk till the dismantling ski-resorts. In both cases the embodied energy in the territory is to be investigated and considered as “spatial capital” to be recycled in a new cycle, inside new social geographies. Urban and territorial prototypes will be elaborated to give a concrete spatial configuration to these changes.","City-territory, resource, life-cycles, embodied energy, inclusion "
32,EE-552,Media security,"This course provides attendees with theoretical and practical issues in media security. In addition to lectures by the professor, the course includes laboratory sessions, a mini-project, and a mid-term exam.  ","Media security problems:Rights protection, content integrity verification, conditional access, confidentionality, privacy, steganography and data hiding. Media access problems:Access control, conditional access, access over time, copyright.Media security tools and solutions:Robust watermarking, fragile watermarking, selective encryption, monitoring, robust hashing, content identification, visual password. Media security standards: Secure JPEG 2000 (JPSEC), security tools in the MPEG family of standards from MPEG-1 to MPEG-21.Applications:Surveillance with privacy, image abd video right protection, security in digital cinema, etc.","watermarking, robust hashing, privacy, conditional access, integrity verification, surveillance, visual password"
33,CH-415,Chemistry of small biological molecules,The main goal of the course is to provide students with relevant background on available chemical tools (predominantly small molecules) that are used to solve important problems in biology and medicine.,"1. Short overview: Chemical synthesis of biological molecules such as proteins, DNA, RNA, peptides, lipids, carbohydrates, and antibodies.2. Methods to chemically modify, recognize, and modulate proteins, DNA, RNA, peptides, lipids, carbohydrates, and antibodies with small molecules. 	2.1 Protein modification methods: 	- modifications of N- and C-terminus 	- cysteine and lysine modification methods	- tyrosine and tryptophan modifications	2.2 Native chemical ligation reactions:	- ligation of two peptides	- protein trans-splicing	- expressed protein ligation	2.3 Bioorthogonal Chemistry based on unique amino acid sequences	- bisboronic fluorogenic acid reagents	- enzyme modifications of peptide tags	- using transition metals to detect peptide tags through chelation 		2.4 Studies of biomolecules that are not genetically encoded (glycans, lipids, metabolites)		- requirements for bioorthogonal reactions	- condensation methods of amine nucleophiles with ketones and aldehydes	- Staudinger ligation of triarylphosphines and azides	- the [3+2] cycloaddition of alkynes and azides	- bioorthogonal ligation with alkenes	2.5 Bioorthogonal group incorporation into various biomolecules 	- proteins: labeling via residue specific modification, site-specific modifications (genetic method), combination of bioorthogonal chemical reporter strategy and activity based protein profiling. 	2.6 Labeling of and imaging glycans	2.7 Labeling of and imaging of lipids 	2.8 Labeling of and imaging of nucleic acids 	2.9 Labeling and detection of other small metabolites3. Basic principles of successful probe design	- solubility, pharmacokinetics, brightness, photo-stability4. Optical in vitro and in vivo imaging and its applications to study molecular signatures of targeted tissues. Bioluminescent and fluorescent imaging.5. Applications of PET and MIR imaging as a new tool to visualize biological processes of medicinal significance.6. Other imaging modalities and their applications in medicine and biology - optoacoustic, ultrasound, DNP.7. Case studies: successful applications of chemical biology approaches in the area of oligonucleotide therapeutics, synthetic vaccines, DNA-encoded libraries, and antibody drug conjugates, proteomics, stem cells and regenerative medicine. ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
34,CIVIL-476,Aesthetics of civil structures,"A dictionary for the reading and description of aesthetic and cultural values of engineering structures and notions of art of structural engineering are introduced by means of bridges, tunnel portals, retaining walls, galleries as well as large infrastructure such as dams, roads and railways.","Consideration of aesthetics: moral duty, perception of a structure, urban and rural sites, types of aesthetics, prominent examples. '' Objective '' rules for aesthetics for bridges, tunnels, retaining walls, anti-noise barriers, galleries, traffic routes, dams: Relationship with the (natural, built, cultural) environment, shape and structure, texture and colour, entity of structures. History of aesthetics : Concrete structures of three Swiss engineers - Maillart, Sarrasin and Menn; structures designed by famous engineers (Brunel, Eiffel, Freyssinet, Amman, Leonhardt, etc.)Trends: Aesthetics of rehabilitated and transformed structures; aesthetics in new construction: Calatrava, cable-stayed structures, metaphoric structures, industrial design.","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
35,HUM-439(d),Digital humanities II,"This course will combine digital technologies and history to address the way the press have processed major international events since 1945. Working on digital archives, the students will use digital methodologies and will analyse extensive sets of digital age data.","Language en                                                  NaN fr    Voir le descriptif complet dans l'introduction... Name: Contenu, dtype: object","Language en                                                  NaN fr    histoire, histoire digitale, humanités digita... Name: Mot-clef, dtype: object"
36,MATH-101(b),Analysis I,"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of one real variable.","- Reasoning, proving and arguing in mathematics - Numbers, structures and functions - Sequences, limit and continuity - Series - Real-valued functions of a real variable and convergence - Differential and Integral Calculus","real numbers, function, sequence, convergent/divergent sequence, limit, subsequence, limit of a function, continuous function, series of real numbers, convergent/divergent series, absolute convergence, derivative, class C^k, mean value theorem, Taylor's theorem, Taylor series, Riemann integral, indefinite integral, intermediate value theorem,"
37,ME-597,Engineering internship credited with master project(master in Mechanical engineering),The student does an industrial internship in a domain where mechanical engineering skills are brought out.,"The internship has several aims such as: the immersion of the student into the professional world, emphasizing the importance of team work, getting acquainted with a company's processes and requirements expected from a professional engineer in Mechanical Engineering. The internship experience should test the student's abilities and skills acquired at the EPFL.Within the framework of the Master's study plan, several forms of internships are possible :  Internships lasting between 2 and 6 months. It occurs in most of the company's departments where the student's knowledge can be profitable. Depending on the available time, the activity could have a more advanced objective, and should call for the skills acquired by the student during his cursus.   Master projects should be a personal and original work covering theoretical and practical aspects of mechanical engineering project. The supervision by an EPFL professor is a guarantee of quality for the student as well as for the company, which remains nevertheless fully owner of the intellectual property of the result of the internship. ","Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
38,AR-262,Theory of urbanism II ,"THU II deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes.","THU II focuses on the effort, deployed during the twentieth century, to imagine a different city that is no longer characterized by the continuity of the built and by the presence of boundaries between city and countryside, natural and built. The open space plays a structural role and is considered as a major resource of the liveable city. Among the case studies: the American territorial grid, Broadacre City; Stadtlandschaft; No-stop city; the city as an archipelago; the projects for Grand Paris (2009). THU II will also address the role of gardens and parks as a field of innovation and experience for urbanism. Students will practice drawing as a theoretical tool. Drawing is considered (exercises and examination) as thinking, which takes various forms of investigation: reading, transcription and conceptualization.",urbanism - urban design - city model - theory.
39,AR-221,Theory of architecture III,"This course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).","The objective of the course is an introduction to the questions of architectural composition, with the following themes :    The Beaux-Arts system. The architectural rationalism. The pittoresque 1 - The agglutinative plan. The architectural grammar (Frank Lloyd Wright). Pittoresque 2 - The « pittoresque grec » - towards the free plan. De Stijl and abstraction. The enclosure breached - the free plan. ","Theories, conception, design, composition."
40,ME-443,Acoustic Hydrodynamic,"Introduction to propagation phenomena in hydraulic systems, water hammer calculation, transient behavior of hydroelectric power plants, numerical simulations of the dynamic behavior of Francis, Pelton and Kaplan turbines, stability study of hydraulic systems","Physical understanding of the flow transients in hydraulic piping systems. Applying the corresponding concepts to the cases of hydroelectric power plants. Applying modelling, simulation and analysis approach to dynamics of hydraulic installations. Presentation of the different types of flow transient in the hydraulic piping systems such as mass oscillations, water hammer. Fundamental equations for the modelling of transients phenomena in hydraulic systems. Resolution with analytical, graphical and numiercal simulation methods. Introduction to electrical analogy for hydraulic system modelling including: pipes, surge tanks, pressurized air vessels, cavitation, pumps, Francis, Pelton and Kaplan turbines.Introduction to SIMSEN software and case studies: water hammer, mass oscillations, start-up and stop of pumps, emergency shutdown of turbines and pumps.","Propagation phenomena, flow transients, dynamic behaviour modelling, numerical methods"
41,MATH-101(en),Analysis I (English),"We study the fundamental concepts of analysis, calculus and the integral of real-valued functions of a real variable.","  - Reasoning , proving and arguing in mathematics - Numbers, structures and functions - Sequences, limit and continuity - Series of reals - Real-valued functions of a real variable and convergence - Differential Calculus and the Integral ","   real numbers, function, sequence,convergent/divergent sequence, limit, subsequence, limit of a function, continuous function, series of real numbers, convergent/divergent series, absolute convergence, derivative, class C^k, mean value theorem, Taylor's theorem, Taylor series, Riemann integral, indefinite integral, intermediate valuetheorem  "
42,MATH-463,Mathematical modelling of behavior,"Discrete choice models allow for the analysis and prediction of individuals' choice behavior. The objective of the course is to introduce both methodological and applied aspects, in the field of marketing, transportation, and finance.",1. Introduction and examples2. Choice theory3. Data4. Binary choice5. Multinomial choice6. Nested Logit model7. Multivariate extreme Value models8. Tests9. Prediction10. Sampling11. Large scale problems12. Mixed models.,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
