|SubjectID|CourseTitleEN|CourseCode|Summary_EN|AcademicYear|
|    1773962 | History of architecture I                                                                               | AR-123       | Contemporary architecture is heir to 5,000 years of accumulated experience, whose genesis lies in the Eastern Mediterranean. Given the wealth of information available to the architect today, it is imperative that he knows the sources, both in the realm of forms than in technology.                                                                           | 2016-2017    |
|    1773967 | History of architecture II                                                                              | AR-124       | Contemporary architecture is heir to 5,000 years of accumulated experience, whose genesis lies in the Eastern Mediterranean. Given the wealth of information available to the architect today, it is imperative that he knows the sources, both in the realm of forms than in technology.                                                                           | 2016-2017    |
|    2181776 | Construction and sustainability I                                                                       | AR-131       | Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole.                                                                    | 2016-2017    |
|  837374937 | Construction and sustainability I                                                                       | AR-131       | Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole.                                                                    | 2016-2017    |
|    2181776 | Construction and sustainability II                                                                      | AR-132       | Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole.                                                                    | 2016-2017    |
|  837374937 | Construction and sustainability II                                                                      | AR-132       | Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole.                                                                    | 2016-2017    |
|  348195336 | Elements of urban and territorial analysis I                                                            | AR-151       | This course will provide students with the necessary basis to identify urban and territorial structures, in order to understand their emergence, their multiple significations and their possibilities to support projects.                                                                                                                                                       | 2016-2017    |
|  348195336 | Elements of urban and territorial analysis II                                                           | AR-152       | This course in the continuation of the course "Elements of urban and territorial analysis I". The focus will be on the shapes, uses and significances of public spaces as essential elements of a city.                                                                                                                                                                        | 2016-2017    |
|   71468717 | Studio BA3 (Bakker & Blanc A.)                                                                          | AR-201(a)    | MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.                                                                                                                                                                                                       | 2016-2017    |
| 1577606521 | Studio BA3 (Bakker & Blanc A.)                                                                          | AR-201(a)    | MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.                                                                                                                                                                                                       | 2016-2017    |
|   71469981 | Studio BA3 (De Vylder & Taillieu)                                                                       | AR-201(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
|  898368668 | Studio BA3 (De Vylder & Taillieu)                                                                       | AR-201(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
| 1799950252 | Studio BA3 (De Vylder & Taillieu)                                                                       | AR-201(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
|  414851904 | Studio BA3 (Rey)                                                                                        | AR-201(g)    | By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport.                                                                                                                 | 2016-2017    |
| 1686269443 | Studio BA3 (Perrault)                                                                                   | AR-201(k)    | Students during their year in the SUB Lab discuss a topic little explored in architecture, the underground. Students will learn to design their project from soil, material, sculpting it to sublimate wealth.                                                                                                                                                             | 2016-2017    |
|   71468717 | Studio BA4 (Bakker & Blanc A.)                                                                          | AR-202(a)    | MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.                                                                                                                                                                                                        | 2016-2017    |
| 1577606521 | Studio BA4 (Bakker & Blanc A.)                                                                          | AR-202(a)    | MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.                                                                                                                                                                                                        | 2016-2017    |
|   71469981 | Studio BA4 (De Vylder & Taillieu)                                                                       | AR-202(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
|  898368668 | Studio BA4 (De Vylder & Taillieu)                                                                       | AR-202(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
| 1799950252 | Studio BA4 (De Vylder & Taillieu)                                                                       | AR-202(c)    | A house is the simple topic of this studio. A matter of simple complexity. Defining a space by its "corner"; looking for a "cascade" of rooms; arriving at the simple complexity of a "house". Learning about a house is learning about architecture. That house in two different contexts. A house twice.                                                        | 2016-2017    |
|  414851904 | Studio BA4 (Rey)                                                                                        | AR-202(g)    | By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport.                                                                                                                 | 2016-2017    |
| 1686269443 | Studio BA4 (Perrault)                                                                                   | AR-202(k)    | Students during their year in the SUB Lab discuss a topic little explored in architecture, the underground. Students will learn to design their project from soil, material, sculpting it to sublimate wealth.                                                                                                                                                             | 2016-2017    |
|    2978058 | Stereotomy                                                                                              | AR-211       | In the history of architecture, stereotomy is the art of designing and manufacturing complex volumes in 3 dimensions for vaults in stone or wooden bents. This course proposes a contemporary reinterpretation of stereotomy with digitals tools.                                                                                                                                        | 2016-2017    |
|  348212682 | Stereotomy                                                                                              | AR-211       | In the history of architecture, stereotomy is the art of designing and manufacturing complex volumes in 3 dimensions for vaults in stone or wooden bents. This course proposes a contemporary reinterpretation of stereotomy with digitals tools.                                                                                                                                        | 2016-2017    |
| 1769400055 | Stereotomy                                                                                              | AR-211       | In the history of architecture, stereotomy is the art of designing and manufacturing complex volumes in 3 dimensions for vaults in stone or wooden bents. This course proposes a contemporary reinterpretation of stereotomy with digitals tools.                                                                                                                                        | 2016-2017    |
|  348212682 | Introduction to CAD Tools in architecture                                                               | AR-219       | Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.                                                                                                                         | 2016-2017    |
| 1769400465 | Introduction to CAD Tools in architecture                                                               | AR-219       | Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.                                                                                                                         | 2016-2017    |
| 1888400347 | Introduction to CAD Tools in architecture                                                               | AR-219       | Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.                                                                                                                         | 2016-2017    |
|    1776787 | Theory of architecture III                                                                              | AR-221       | This course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).                                                                                                             | 2016-2017    |
|    1776792 | Theory of architecture IV                                                                               | AR-222       | The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).                                                                                                              | 2016-2017    |
|    1773972 | History of architecture III                                                                             | AR-223       | The course aims to study the architecture of the sixteenth century and its authors, studying its architectural and constructive forms as well as the network of contextual issues in which it was influenced and generated.                                                                                                                                                              | 2016-2017    |
|    1773977 | History of architecture IV                                                                              | AR-224       | The course covers the main topics that characterize the works of Pier Luigi Nervi and Louis I. Kahn, looking for theoretical foundations for a new concept of construction.                                                                                                                                                                                                              | 2016-2017    |
|    2181769 | Construction and sustainability III                                                                     | AR-231       | Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction.                                                                                                           | 2016-2017    |
|  837374365 | Construction and sustainability III                                                                     | AR-231       | Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction.                                                                                                           | 2016-2017    |
|    2181769 | Construction and sustainability IV                                                                      | AR-232       | Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction.                                                                                                           | 2016-2017    |
|  837374365 | Construction and sustainability IV                                                                      | AR-232       | Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction.                                                                                                           | 2016-2017    |
|  348210370 | Structures and materials I                                                                              | AR-239       | Familiarize the student with construction materials and the relationships between materials and structures.Design structural elements and their joints in accordance with the construction materials used.Use appropriate terms.                                                                                                                                                              | 2016-2017    |
|  348210408 | Structures and materials I                                                                              | AR-239       | Familiarize the student with construction materials and the relationships between materials and structures.Design structural elements and their joints in accordance with the construction materials used.Use appropriate terms.                                                                                                                                                              | 2016-2017    |
|  348210370 | Structures and materials II                                                                             | AR-240       | Familiarize the student with construction materials and the relationships between materials and structures.Design structural elements and their joints in accordance with the construction materials used.Use appropriate terms.                                                                                                                                                              | 2016-2017    |
|  348211982 | Theory of urbanism I                                                                                    | AR-261       | THU I deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes.                                                                              | 2016-2017    |
|  374415795 | Theory of urbanism II                                                                                   | AR-262       | THU II deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes.                                                                             | 2016-2017    |
|   71470051 | Studio BA5 (Viganò)                                                                                     | AR-301(a)    | The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.                                                                                                                                | 2016-2017    |
| 1769419681 | Studio BA5 (Viganò)                                                                                     | AR-301(a)    | The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.                                                                                                                                | 2016-2017    |
|   71470103 | Studio BA5 (Graf F.)                                                                                    | AR-301(b)    | Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.                                                                                                      | 2016-2017    |
|  126520129 | Studio BA5 (Ortelli L.)                                                                                 | AR-301(c)    | The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail in the town of Edinburgh.                                                                                                                                                                | 2016-2017    |
| 1577870692 | Studio BA5 (Ortelli L.)                                                                                 | AR-301(c)    | The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail in the town of Edinburgh.                                                                                                                                                                | 2016-2017    |
|  126520210 | Studio BA5 (Fröhlich M. & A.)                                                                           | AR-301(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
| 1577868552 | Studio BA5 (Fröhlich M. & A.)                                                                           | AR-301(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
| 1799962043 | Studio BA5 (Fröhlich M. & A.)                                                                           | AR-301(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
|  898411158 | Studio BA5 (Fröhlich M. & A.)                                                                           | AR-301(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
|   71470185 | Studio BA6 (Viganò)                                                                                     | AR-302(a)    | The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.                                                                                                                                | 2016-2017    |
| 1799962539 | Studio BA6 (Viganò)                                                                                     | AR-302(a)    | The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.                                                                                                                                | 2016-2017    |
|   71470196 | Studio BA6 (Graf F.)                                                                                    | AR-302(b)    | Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.                                                                                                      | 2016-2017    |
|  126520303 | Studio BA6 (Ortelli L.)                                                                                 | AR-302(c)    | The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail.                                                                                                                                                                                         | 2016-2017    |
| 1577868848 | Studio BA6 (Ortelli L.)                                                                                 | AR-302(c)    | The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail.                                                                                                                                                                                         | 2016-2017    |
|  126520416 | Studio BA6 (Fröhlich M. & A.)                                                                           | AR-302(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
|   71470211 | Studio BA6 (Fröhlich M. & A.)                                                                           | AR-302(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
| 1769419718 | Studio BA6 (Fröhlich M. & A.)                                                                           | AR-302(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
|  898411328 | Studio BA6 (Fröhlich M. & A.)                                                                           | AR-302(d)    | The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.                                                                                   | 2016-2017    |
|    1776797 | Theory of architecture V                                                                                | AR-321       | The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).                                                                                                              | 2016-2017    |
|    1776802 | Theory of architecture VI                                                                               | AR-322       | The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).                                                                                                              | 2016-2017    |
|    2181673 | History of architecture V                                                                               | AR-323       | The course aims to provide critical tools for a thorough understanding of key themes and personalities that characterize the architecture of the nineteenth century, with particular emphasis on the theory of structural truth and symbolic envelope.                                                                                                                                   | 2016-2017    |
|    1773982 | History of architecture V                                                                               | AR-323       | The course aims to provide critical tools for a thorough understanding of key themes and personalities that characterize the architecture of the nineteenth century, with particular emphasis on the theory of structural truth and symbolic envelope.                                                                                                                                   | 2016-2017    |
|    2181673 | History of architecture VI                                                                              | AR-324       | The course covers the main themes that characterize the architecture from the early eighteenth century to the present, with particular emphasis on aspects related to construction techniques, structures, forms of coating and space.                                                                                                                                     | 2016-2017    |
|    1773987 | History of architecture VI                                                                              | AR-324       | The course covers the main themes that characterize the architecture from the early eighteenth century to the present, with particular emphasis on aspects related to construction techniques, structures, forms of coating and space.                                                                                                                                     | 2016-2017    |
|  837374836 | Construction and sustainability V                                                                       | AR-331       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester V focuses on specifications, coordination and integration of technical appliances in a building project.                                                                                                        | 2016-2017    |
|  837374708 | Construction and sustainability V                                                                       | AR-331       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester V focuses on specifications, coordination and integration of technical appliances in a building project.                                                                                                        | 2016-2017    |
|   24160147 | Construction and sustainability V                                                                       | AR-331       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester V focuses on specifications, coordination and integration of technical appliances in a building project.                                                                                                        | 2016-2017    |
|   24160147 | Construction and sustainability VI                                                                      | AR-332       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester VI focuses on envelope design within a global and sustainable building design process.                                                                                                                                 | 2016-2017    |
|  837374836 | Construction and sustainability VI                                                                      | AR-332       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester VI focuses on envelope design within a global and sustainable building design process.                                                                                                                                 | 2016-2017    |
|  837374751 | Construction and sustainability VI                                                                      | AR-332       | The course "Construction and sustainability V+VI" treats technical, construction and material aspects in relation with architectural concepts. Semester VI focuses on envelope design within a global and sustainable building design process.                                                                                                                                 | 2016-2017    |
| 1680235062 | Design of structures                                                                                    | AR-337       | Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.                                                                                         | 2016-2017    |
|  125910731 | Spatial dynamics and territorial actors                                                                 | AR-351       | Territorial development is a politic action. The accelerated urban sprawl requires new questions to be asked. Scientists  and urbanists need to understand dynamics which transform space and the relations between territorial actors.                                                                                                                                                         | 2016-2017    |
| 1686440293 | Environmental Arts and History I                                                                        | AR-365       | This course aims at introducing students to the history of landscapes and the environment, and to the ways in which the environmental concerns, which are strongly going to affect the design of cities and architecture, have emerged during the last decades.                                                                                                            | 2016-2017    |
| 1686440293 | Environmental Arts and History II                                                                       | AR-366       | This course aims at introducing students to the history of landscapes and the environment, and to the ways in which the environmental concerns, which are strongly going to affect the design of cities and architecture, have emerged during the last decades.                                                                                                            | 2016-2017    |
|   71471393 | Studio MA1 (Gugger)                                                                                     | AR-401(b)    | laba's focal theme is Urban Nature. Due to the scale and character of today's territorial expansion, the definition of the urban becomes more diffuse and complex. laba's didactic method takes students through design scales ranging from the territorial to the architectural in a year long course.                                                                   | 2016-2017    |
| 1733120125 | Studio MA1 (Gugger)                                                                                     | AR-401(b)    | laba's focal theme is Urban Nature. Due to the scale and character of today's territorial expansion, the definition of the urban becomes more diffuse and complex. laba's didactic method takes students through design scales ranging from the territorial to the architectural in a year long course.                                                                   | 2016-2017    |
