SubjectID	Summary_EN
24175202	The course deals with the complex relationship that contemporary architecture attempts to weave between art and nature : by placing it in a diachronic and historical perspective, and by using a critical reading of the writings and work of the architects who are registered in these artistic currents.
1496923419	Provide the student with a broad vision of the history of concrete construction, with particular attention to the study of forms, the composition of concrete and surface processings.
1687172291	The class focuses on key moments of European urban housing history. It centres its attention on current or replicated housing types of different social classes that mostly contributed to the definition of urban identity across borders and time.
71466583	To study a few questions related to the contemporary housing through the analysis of recent and representative buildings.
1680279554	Construction within existing buildings is nothing new. What gives it contemporary relevance is the type of theoretical and practical questions we have to pose concerning the architectural object and the close-range examination of building fabric that is involved.
1769706560	"During the course ""introduction au BIM"" the participants contributed to build a complexe of digital models. In the UE this complex will be exploited in order to do several simulations. The participants wil intensively use the EPFL VDI-BIM and the ENAC BIMservers."
4151854	Teaching unit offers a reflection on space and shape integrating issues related to the structure. It treats the relation between the project concept and its realization: materials and their characteristics envelop, implementation and their constraints.
24261148	This class aims to raise the students' awareness to the specificities of a renovation project. The Teaching Unit focuses on the relation between renovation demands and a broad architectural vision, with particular emphasis on sustainable development.
1494716829	This course articulates itself around a detailed analysis and optimisation of the climate-responsiveness and energy-efficiency of an individual building. It is based on several assessment methods including a range of simulation tools of variable complexity in lighting, heating, ventilation and PV.
1781858692	This class offers an overview about comfort evaluations in architectural design and suggests passive and low-energy strategies suited to ensure the highest possible indoor environment quality for buildings.
1888402399	Consistencies adventurous.The approach of the lectures is theoretical.The lectures deal with architectural problematics of the present state of architecture:About diagrams.About organic and texturic.About phenomenology.About architecture and icons.About landscape-architecture.
1494718976	In the framework of the concrete orientation, named Concrete Architecture, the UE O presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.
1771849	This course proposes multi-disciplinary approaches that could help to the clarify the articulations of different scales of intervention (architecture, city, territory).It aims at the study of the constitution of the character of a site through the understanding of its relations to the distance.
71466740	This course's objective is to introduce the major periods of the history of European gardens from the Renaissance until today, with a particular emphasis on the twentieth and twenty-first centuries. It also gives students the opportunity to analyze the cultural heritage of Vaud-Geneva.
1496924504	Urban and regional planning is at the articulation of spatial policies's  impacts. Several scales, many actors and multiple domains do have importance. The concepts, methods and models of engineering, architecture and humanities are required.
126727237	The purpose of the course is to light the complexity and the originality of this old culture of about 1400 years, which still continues and concerns one and a half billion people. Understand this civilization through the spatial and urban systems (types, styles and constructions).
23812659	This course proposes a trans-disciplinary (geography, sociology, aesthetics, political science, history, urbanism) theoretical initiation to the sciences of the city, with a particular accent on public space. It offers an exploration of the urbanity by the medium of photography.
23813560	The course wants to highlight the production process of the urban habitat, as well as the dynamic of the development in built environment, in their whole complexity. It will focus on the habitat  in Southern cities.
23815258	UE J introduces students to large-scale territorial analysis through the investigation of a research hypothesis. A sequence of operations will be proposed: description, reading of spatial principles (rationalities and dynamics) and comparison of different urban conditions.
1906438210	This teaching unit aims to experiment with the medium of cartography as a means of spatial representation, and as a tool for reading, perceiving and changing the territory.
1776342	"""Difference and common in the contemporary city"" This course introduces students to the ways of thinking of urban sociology and its analytical tools in order to describe and analyze the stakes of contemporary cities."
1781858447	Theory and history of the relations between architecture and construction from the mid-18th century to the present.
1680277127	The scope of Superstudio is to plunge the last year master students into an intense confrontation among themes, scales, theoretical and design positions. Very important synergies are envisaged between the research and the didactic moment.
47832968	The theoretical statement is the initial stage in the Master Project. Student lay the theoretical foundations for their work, setting out the thematic, reference and methodological framework. They clearly and accurately state the central architectural issue to be addressed by their project.
132446543	The one-semester Master Project is an architecture project conducted autonomously by the student. Students themselves select the members of the review group, the project theme and the site.
1772025	Biology I is an introduction to the basic concepts of life sciences. The course is structured around three main topics : 1. structures and functions at the cellular level; 2. the storage and transmission of information in living organisms; 3. the energy conversions in the biosphere.
1772030	Completing Biology I, Biology II covers the basic concepts of evolution, development, interactions between species before explaining the mechanisms governing gene expression.
71603711	Basic course in biochemistry as well as cellular and molecular biology for non-life science students enrolling at the Master or PhD thesis level from various engineering disciplines. It reviews essential notions necessary for a training in biology-related engineering fields.
1657417886	The students are exposed to and understand some of the fundamental principles at the root of the Life Sciences, with an emphasis on mechanistic approaches to analyzing molecular and cellular processes.
350468544	Ce cours axé sur la biologie moléculaire et la génétique décrit le stockage de l'information génétique, le processus d'expression de l'information génétique et la régulation de ce processus.
351053875	The course covers the regulation of gene expression, which translates the information contained in the genome into function, by adjusting the levels and activities of mRNAs and proteins to the needs of specific cells, tissues and environments. A particular emphasis is given on experimental methods.
1046491990	This course covers the basic concepts of intermediary metabolism. Students are introduced to the various metabolic pathways that integrate the nutritional status to energy homeostasis and will get familiar with several medical applications based on these pathways.
1679266975	The course Physical Biology of the Cell introduces quantitative descriptions of cellular structureand molecular interactions. The course aims to integrate quantitative methods with cell biology.
1771068812	An interdisciplinary EPFL student team will design and build genetic circuits with novel functionalities. Students learn to develop a project and carry it out to completion in a concrete manner. Their creativity and critical thinking are highly encouraged.
352252328	This course introduces dynamical systems theory for modeling simple biological networks, e.g. gene circuits or population dynamics. Qualitative analysis of non-linear dynamical models will be developed together with simulations. The focus is on  biological examples.
260077392	This course will provide an introduction to fundamental concepts in microbiology. Special emphasis will be given to the surprising and often counter-intuitive physical world inhabited by microorganisms.
1584778525	La première moitié du cours couvre en détail la génétique classique (mode de transmission et calculs de risque). La deuxième moitié familiarise les étudiants avec les techniques et les avancées de la génomique comtemporaine : architecture des génomes, interactions régulant l'expression des génes.
350849052	In this Course, students will learn basic principles that lead to an understanding of the physiology of the nervous system and of the immune system. Each system will be approached with the essential notions of anatomy and histology, together with the experimental methods used in the respective field
48289169	This course introduces the fundamentals of stem cell biology, with a particular focus on the role of stem cells during development, tissue homeostasis/regeneration and disease.
1680039643	This course is neither an introduction to the mathematics of statistics nor an introduction to a statistics program such as R. The aim of the course is to understand statistics from its experimental design and to avoid common pitfalls of statistical reasoning. There is space to discuss ongoing work.
47947735	We will define the concept of homeostasis and principles of hormone action and the molecular mechanisms underlying them. Interactions with the environment and pertinent public health issues will be analyzed.
1543013152	This course is to familiarize students with the basics of the law and ethics in the field of life sciences research and its translation into applications, and to provide them with the essential tools in order to identify legal and ethical issues they may face in their future professional practice.
352254973	This course reviews the different techniques of DNA sequence analysis and the associated bioinformatics tools in the context of applications to current research in molecular biology.
1771072469	Students are given the means to dig effectively into modern scientific literature in the multidisciplinary field of bioengineering. The method relies on granting sufficient time to become familiar with the background and hypotheses, on effective support during the analysis and on oral assessment.
1771072563	The goal is to learn to analyze a paper critically, asking whether the data presented support the conclusions that are drawn. The analysis is presented in the form of a summary abstract and critical, constructive referee's report.
1771067819	In this course students will be exposed to the fields of regenerative medicine and molecular diagnostics with a specific focus on how scientific developments in these fields are translated to the market through the formation of start-up companies.
47995206	The course covers in detail molecular mechanisms of cancer development with emphasis on cell cycle control, genome stability, oncogenes and tumor suppressor genes.
438961411	The students acquire knowledge regarding the fundamental aspects of the invertebrate and vertebrate immune response. Students apply this knowledge during team-based exercises and oral presentations.
232289697	The goal of the course is to guide students through the essential aspects of molecular neuroscience and neurodegenerative diseases. The student will gain the ability to dissect the molecular basis of disease in the nervous system in order to begin to understand and identify therapeutic strategies.
1807233617	This lecture course focuses on the cellular mechanisms of mammalian brain function. We will describe how neurons communicate through synaptic transmission in order to process sensory information ultimately leading to motor behavior.
1771071124	The goal of this course is to instruct the student how fundamental scientific knowledge, acquired through the study of fundamental disciplines, including biochemistry, genetics, pharmacology, physiology, genomics, cell and molecular biology can be applied for drug discovery and development.
1771071455	The theme of the course is the role of inflammation in cancer. It focuses on the regulation and multifaceted functions of tumor-associated inflammatory cells, and how they promote or oppose cancer.
1771072572	The goal is to learn to analyze a paper critically, asking whether the data presented support the conclusions that are drawn. The analysis is presented in the form of a summary abstract and critical, constructive referee's report.
1771067486	This course will provide a forum in which students engage themselves in learning how to design a scientific project that bridges scales and allows following the causal chain from one scale to the next.
1771067191	The goal of this course is to instruct the student how fundamental scientific knowledge can be applied for drug discovery and development. We will demonstrate these principles with examples, including obesity, diabetes, atherosclerosis and infectious diseases such as HIV/AIDS and tuberculosis.
1771015531	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
355590267	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
355590564	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
355591210	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
1864673347	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience, or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
1864673356	The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience, or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
132448364	The Master project is the culmination of a student's work of analysis, design and implementation, which proves his/her engineering capacities. Students will engage in laboratory-based projects in the field of molecular medicine or neuroscience.
134558590	The Master project is the culmination of a student's work of analysis, design and implementation, which proves his/her engineering capacities. Students will engage in laboratory-based projects in the field of bioengineering.
132121224	This introductory course on fluids mechanics presents the basics concepts in fluids statics, dynamics and kinematics. All the concepts required to take the cardiovascular track in the Bioengineering Master program are covered.
352072600	The student will engage in a laboratory-based project in the field of life sciences or engineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis. Students will acquire skills in information literacy.
4145120	The course presents comparatively several topics at the interface between bioengineering and chemical engineering. Special emphasis is put on biocatalysisto reduce both the costs and the environmental impact of production processes.
350847112	The course will try to trace back the thinking and approach to therapy and prevention of disease over time.
839100255	This course addresses the principles governing the interactions between light and biological tissue, their optical properties and basic concepts of radiometry. The most important and illustrative diagnostic and therapeutic applications of light in medicine and photobiology will also be described
1771072592	The goal is to learn to analyze a paper critically, asking whether the data presented support the conclusions that are drawn. The analysis is presented in the form of a summary abstract and critical, constructive referee's report.
1680039586	Teaching objectives: history, neural control of movement, computational motor control, neurorehabilitation after CNS disorders, upper limb and hand neuroprostheses, lower limp neuroprostheses, student project.
1770857585	The student will engage in a laboratory-based project in the field of bioengineering.Student projects will emphasize acquisition of practical skills in experimentation and data analysis.
1582863195	The student will engage in a laboratory-based project in the field of computational neuroscience in one of the research labs of the EPFL working in this field.
1680530302	Introduction to the key principles of animal experimentation, with an emphasis on laboratory rodents (mouse and rat) in the context of the EPFL facilities.
1680530324	Introduction to the key principles and concepts underlying the screening activity to identify and to characterize bioactive compounds (chemicals, compounds, siRNAs and natural products) acting on a given biological target or a signalling pathway.
1680530693	The course will help students to identify and manage laboratory hazards and to run a proper risk evaluation, with a particular focus on biological activities.
1680530700	This module cover the fundamentals of Flow Cytometry from theory to practical applications, including practice of acquisition and cell sorting experiments. Students work in small groups for hands-on time, putting theory into practice in the laboratory.
1680535667	Presentation of the diverse techniques to prepare samples for bright field microscopy, as well as procedures for standard histology stains and proteins detection with observation of tissues under microscope.
1680530742	Introduction to several mass spectrometry techniques and their application to the proteomics field. Description of bioinformatics tools used to analyze proteomics data. The goal of the course is to provide an overview of main proteomics strategies and their applications in the Life Science context
71855072	This teaching aims at establishing solid, operational knowledge bases in quantitative general chemistry. It introduces the concepts of thermodynamics controlling physical transformations of matter and chemical equilibria. The first notions of electrochemistry and chemical kinetics are introduced.
1661374484	This course introduces the basic notions of quantum chemistry necessary to understand the properties of an electron in an atom. The factors and concepts responsible for the formation of a chemical bond and a molecule will then be discussed and apply to organic molecules.
260079039	"The student will learn how to work in a chemistry laboratory. He/she will acquire a quantitative and/or qualitative approach. TP carried out are in relation to the courses of chemistry and will be followed by a second part ""TP2""."
1676846587	This course aims at the acquisition of essential notions on the structure of matter, chemical equilibria and reactivity. Theoretical teaching and exercise provide the methodology to analyze and solve by reasoning and calculation novel problems of general chemistry.
1678982942	The goal of this course it to understand at the molecular level the principle of organic reactions and to use the correct terms to discuss organic chemistry
1678983025	The goal of this course is to present the work of organic chemists in the context of the research on biological active drugs.
1772250	The goal of this course is to be able to determine the chemical structure of small organic molecules using mass spectrometry, infrared spectroscopy and nuclear magnetic resonance.
4144900	Basic concepts in biochemistry as well as biochemical components of organisms such as proteins, DNA, carbohydrates and lipids are discussed.
1772497	Introduction to the chemistry of the s &amp; p elements of the periodic table.
1513577805	Different purification methods (distillation, crystallization, chromatographe) and  synthesis of organic compounds by simple reactions (bromination, reduction, acylation, formation of imine, nitration, Grignard et Reformatsky reaction)
1773682	The course will focus on the reactivity of carbonyl compounds: their structure, reactivity and transformations; the reaction of enols/enolates. The understanding of reaction mechanisms, chemo-, regio- and stereo-selectivities will be emphasized.
1773437	Students understand the concepts of the electrical potentials, of Fermi level of the electron and apply the Nernst equation. They understand ionic conductivity of electrolytes and charge distribution on charged interfaces. Steady amperometry is introduced.
1769329067	This course introduces students to modern computational and mathematical techniques for solving problems in chemistry and chemical engineering. The use of introduced numerical methods will be demonstrated using the MATLAB programming language.
1807738465	This course provides an introduction to inorganic chemistry with an emphasis on main group and transition metal elements. Their characteristics and properties are described and some theories are developed.
1774837	Students understand the physico-chemical principles of chromatographic and electrophoretic separation methods
230665709	This laboratory work aims to illustrate the analytical separation methods course as well as to accustom the students with the qualitative and quantitative aspects of analytical chemistry.
1772275	This course covers the basic biophysical principles governing the thermodynamic and kinetic properties of biomacromolecules involved in chemical processes of life.The course is held in English.
350462476	The goal of this class is an introduction into the organic chemistry of biological pathways. Students will learn the common mechanisms in biological chemistry as they are found in primary and secondary metabolism.
1772432	Introduction to the coordination chemistry and function of metal complexes in biological systems.
1772587	Acquire an understanding of interfacial phenomena and of micro-heterogeneous colloidal solutionsystems.
47987731	Introduction into optical spectroscopy of molecules
230666083	Repetition of the basic concepts of quantum mechanics and main numerical algorithms used for practical implementions. Basic principles of electronic structure methods:Hartree-Fock, many body perturbation theory, configuration interaction, coupled-cluster theory, density functional theory.
1669225782	See content below please
1898535955	This course aims at introducing ancient materials and their investigation by non-destructive synchrotron and imaging techniques. Case-studies on paintings, ceramics, stained glass, fossils will be presented and important concepts introduced and discussed (multiscale, heterogeneity, representativity)
1669227005	Principles and practice of modern nuclear magnetic resonance spectroscopy. NMR is today the most powerful spectroscopic method to determine the structure of molecules and materials, in physics, chemistry, biology or medicine.
1533900991	The main goal of the course is to provide students with relevant background on available chemical tools (predominantly small molecules) that are used to solve important problems in biology and medicine.
1769332958	This course covers the fundamental and applied aspects of electrocatalysis related to renewable energy conversion and storage. The focus is on catalysis for hydrogen evolution, oxygen evolution, and CO2 reduction reactions. Both homogeneous and heterogeneous catalysts are discussed.
129833984	This advanced course on homogeneous catalysis explain the important role of the field in modern chemistry and provide a detailed understanding of how these catalysts work at a mechanistic level and give examples of important applications (carbon dioxid hydrogenation, hydrogen storage and delivery).
129776728	The course will teach students to classify and understand chemical reactions in solution including metal ions . The students will learn to chose amongst experimental techniques presented.
1771718	To develop a detailed knowledge of the key steps of advanced modern organic synthesis going beyond classical chemistry of olefins and carbonyls.
468310629	Complex polycyclic natural products are chosen to illustrate the evolution of the state-of-the-art of the field, the interplay between strategy and new reactions as well as the importance of implementing multi-bond forming processes in a synthesis.
1770678	Introduction of the bases allowing the computation of chemical reactions and spectroscopic properties of molecules or ions in the gas phase and in solution using quantum chemical methods.
250991626	This course will discuss the main methods for the simulation of quantum time dependent properties for molecular systems. Basic notions of density functional theory and of its time dependent version will be covered in the context of adiabatic and non adiabatic dynamics.
44378947	Basics in molecular physics (vibrational, rotational and electronc structure) are introduced to help understand infrared,Raman and visible-ultraviolet spectroscopy. In addition, symmetry properties are presented for the description of  polyatomic molecules.
71883318	The student applies the acquired skills to an academic project.
1769339854	Interdisciplinary Laboratory Projects - ISIC
132425754	The Master ends up with an independent research work lasting 4 to 6 months in academia or industry, called the Master's thesis.
250986010	Introduction to Chemical Engineering is an introductory course that provides a basic overview of the chemical engineering field. It addresses the formulation and solution of material and energy balances by using the physical/chemical properties of materials.
1898529993	- Derivation of differential balances equations for momentum, heat and mass. In this context, the derivation of the Navier-Stokes equation is applied for the calculation of velocity profiles in some systems.- Recognize and apply the analogies between the three types of transfer.
130130740	Design of separation processes widely used in the industry, such as distillation, liquid-liquid extraction, gas absorption and stripping, using the equilibrium-stage approach.
48099118	The theoretical background and practical aspects of heterogeneous reactions including the basic knowledge of heterogeneous catalysis are introduced.  The fundamentals are given to allow for the use of chemical reactors to study reaction kinetics and test various mechanistic assumptions.
4145236	Familiarization with practical aspects encountered in chemical reaction engineering. A research project is carried out along twelve weeks where a close interaction is required between the different groups.
71898059	The course introduces key concepts from systems biology and systems engineering methodologies used for the study of complex biological networks. It presents and analyzes the methodologies for the development of models of biological networks.
1771573	Familiarize the students with integrated process development and industrial technologies.
1715599381	To complete a project in bioprocess field in a research lab.
234597759	The student makes an industrial internship from 4 to 6 months in a field where the chemical engineer competences are brought out.
1593341315	The Master ends up with an independent research work lasting 4 to 6 months in academia or industry, called the Master's thesis.
938058920	Knowledge on mechanical behavior of structural elements, bars and beams, regarding strength until failure, displacements at a point and stability in terms of buckling is required (elasticity and plasticity).Tension, compression, bending (with shear)and torsion stress calculation(isostatic structure)
231606915	This class addresses Continuum Mechanics, which is fundamental component of the civil engineering curriculum. It covers the concepts of deformation, stress, general principles, equilibrium equations, and constitutive laws.
227318424	To understand the behaviour and principles for design of structural concrete members. To be able to design concrete members of most common structures : halls, buildings, retaining walls, parking garages etc.
1932632950	The students understand the mechanical behaviour of rock materials, joints and rock masses, and are able to determine the factors conditioning civil engineering applications. They are able to use appropriate methods for carrying out analysis and design of tunnel excavation and support.
414819112	This course will master the fundamental and practical aspects of the design of timber structures. It deals with beams, columns, assemblies, structural systems and stability problems.
22827171	The critical analysis of energy strategies requires to understand the various energy value chains involved in the energy supply and their impacts on the economy, the environment and the society. The course introduces to formalisation of  energy strategies problems.
348607885	-   Introduce the major elements of transportation systems and create awareness of the broader context-   Develop basic skills in applying the fundamentals of the transportation field-   Understand the key concepts and physics of the transport phenomena-   Connect with real transportation problems
23610182	Application of the bachelor level skills to a project in civil engineering
1932794331	Geomechanics deals with understanding, analysing and modelling the mechanical behaviour of geomaterials. The topics go further steps beyond the classical geotechnical engineering and provide students with the fundamental understanding and tools of the behaviour of soils.
1680050992	Students identify the main rock types and know their physical properties. The know the groundwater flow phisics with coupled heat or solute transport. They know how to design wells. They know the built environment/geological medium relationships.
830901136	Traffic facilities as road, airport and railtrack are bases of transport networks. Component selection and application of design methods used to build and maintain efficient structures on the life cycle.
1774027	The course provides the students with a solid theoretical background in fluvial hydraulics, as well as the basic concepts in river engineering that aim at conciliating hazard protection and environmental protection. Real-world examples illustrate the course.
1770632	Dams corresponds to the largest structures ever built by man. The course gives an introduction in the fascinating field of design and construction of dams required for supply of water and energy but integrated in the environment all over the world.
1941543671	Based on the course Hydraulic structures and schemes, the general design and layout of different hydroelectric power plants with the design of its hydraulic elements and the appurtenant hydraulic structures of dams is treated in detail.
1773337	Develop capabilities to determine natural frequencies of vibrating structures as well as resultant stresses and movements.
1932791826	This course introduces the concepts required to develop fluid-filled porous reservoirs in subterranean formation for a number of industrial applications. It covers the effects of fluid withdrawal and injection on in-situ rock stresses and deformation, well stimulation, deep drilling etc.
1775602	This course presents the main aspects of prestressed concrete bridge conceptual design and its analysis. It focuses on beam and box-girder bridges. Following key areas are explored : optimization of structural behavior, construction methods, dynamics and material technology
1889181461	Engineering methods inherent to existing structures (buildings, bridges, etc.) are introduced.
1932629392	The course aims to give tools to treat from a scientific viewpoint the issue of the analysis and management of natural and technological risks, with a particular emphasis to the field of civil engineering.
47390229	The objective of the course is to:1.   Introduce topics in properties, processing, mechanical behavior, characterization, analysis and structural design of Fiber Reinforced Composites2.   Help students develop their research skills through independent investigations on research topics.
1770786181	In order to meet the energy demand for a country or a given region it is necessary to represent the energy system as a whole taking into account different interactions. This course concerns the modeling of a global energy system with the purpose of evaluating energy strategies.
4151954	Describe, analyze, and quantify the causal and induced relations between urban land use and transport systemsIntroduction to micro and macro analysis of supply and demand for:- transport;- location choices of people and economic activities.
830900311	This lecture gives necessary information to master the railway operation regarding its technical aspects for both nominal (timetable, shunting, train speed, interoperability) and degraded (works, delays, incidents) situations.
1773822	The transportation network infrastructure manager evaluates functional and structural conditions of the road or of the railway. He estimates evolution under loads effect and develops maintenance strategies.
338340784	The objectives of this course are to present the major elements of traffic operations and to develop basic skills in applying the fundamentals of traffic analysis and control. Students should be able to start applying these skills to model different aspects of congestion in urban systems.
1770793617	The course develops the main economic mechanisms and issues involved in infrastructures, which are a crucial factor for the development and the structure of our societies.
1770649464	The conformity of buildings with the principles of the sustainable development requires of the civil engineer multidisciplinary skills. At the end of the course), the students will acquire the theoretical and practical bases to estimate the sustainability of buildings.
136704168	Application of master level skills  to an academic project in the design, construction or maintenance of a civil engineering structure.
136704309	Application of master level skills  to an academic project about the modelling of a civil engineering system.
136703631	Application of master level skills  to a civil engineering laboratory test including its design, its realization and its interpretation.
72259676	Application of master level skills  to the interdisciplinary aspects of a civil engineering project
455262375	This is an advanced MS level class. It is of interest to engineering students who wish to develop know-how in computational science and engineering.
23325791	Enrich the knowledge on the behaviour, conceptual design and detailing of concrete structures.To learn to design complex concrete structures.
1776477	Conceptual and structural design of steel structures, with emphasis on different analysis and design methods concerning connections, fatigue and fire protection.
1774547	"Starting from basic knowledge of concrete technology, this course develops relations between composition, processing, microstructure and structural properties of ""new concretes"", with a special emphasis on Ultra High Performance Fibre Reinforced Concretes (UHPFRC)."
652058540	The student makes an industrial internship in a domain where civil engineer competences are brought out
46641934	Pre-study leading to the acquisition of skills and base data for the master thesis.
134468934	Application of master level knowledges to the realization of a final master thesis with high scientific value in the domain of civil engineering or associated.
4151162	To understand the threats to which computer networks are exposed and to know how to protect a network using appropriate technical and organisational measures.
72259583	Individual research during the semester under the guidance of a professor or an assistant.
1702466222	Information is stored and processed in material systems. With their miniaturization, it becomes necessary to replace the concept of classical bit  by that of quantum bit. This course develops the subject of quantum communications, cryptography and correlations.
1770973	This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented.
1774097	The mathematical principles of communication that govern the compression and transmission of data and the design of efficient methods of doing so.
1771764	In the lectures you will learn and understand the main ideas that underlie and the way networks are built and run. You will be able to apply the concepts to the smart grid. In the labs you will exercise practical configurations.
24166696	Study of satellite communication (SATCOM) systems and IP satellite networks.
1790207913	The objective of the course is to introduce theory, methods, and basic psychoacoustics that is needed to understand state-of-the-art techniques used in pro audio and consumer audio, including microphones, surround sound, auralization, virtual acoustics, mixing, and audio coding.
82805306	Individual research during the semester under the guidance of a professor or an assistant.
1889230132	In this course, various aspects of probability theory are considered. The first part is devoted to the main theorems in the field (law of large numbers, central limit theorems), while the second part focuses on the theory of martingales in discrete time.
1771018	Linear and nonlinear dynamical systems are found in all fields of science and engineering. After a quite thorough review of linear system theory, the class will explain and develop the main tools for the qualitative analysis of nonlinear systems, both in discrete-time and continuous-time.
231957235	Individual research during the semester under the guidance of a professor or an assistant.
1772065	Digital communication systems are basic workhorses behind the information age. Examples include high-speed wired and wireless networks, but also CDs, hard drives, and flash memory. This class presents the tools and concepts behind present and emerging systems, including OFDM, GSM, 3G, and 4G/LTE.
1776347	The idea is to complement the theoretical knowledge learned in Principles of Digital Communications (and perhaps in Advanced Digital Communications), with hands-on exercises based on Matlab.
1678961803	Signal processing tools are presented from an intuitive geometric point of view which is at the heart of all modern signal processing techniques. Student will develop the mathematical depth and rigor needed for the study of advanced topics in signal processing.
652076110	The engineering internship is part of the curriculum for master's students. They join companies in Switzerland or abroad for an internship or a master's thesis project which takes place in a field of activity where the skills of the future engineer are highlighted.
132425231	The student carries out an academic or industrial research project. He/she has to display the knowledge and capability required for independent work as a Master of Communication Systems.
784637359	This course presents the fundamentals of programming and object-oriented programming (using the Java language). An introduction to the Unix environment will also be given.
1657719952	The course is structured into 3 modules. Module 1 present the concepts of algorithms and representation of information. Module 2 focuses on sampling and compression. Module 3 offer an overview of systems: CPU, memory, communication and security.
