Id,SubjectName,AssociatedCourseCodes
1772847,Conception pour X,ME-312
1772852,Concurrence,CS-206
1772912,Conversion électromécanique I,MICRO-213
1772927,Corporate governance,MGT-552
1772942,Corrosion et protection des métaux TP,MSE-312
1772992,Psychologie sociale A,HUM-218
1772997,"Médias, communication et culture",HUM-204
1773002,Psychologie cognitive A,HUM-213
1773157,Cristallographie,MSE-202
1773162,Cycle de vie des polymères,MSE-430
1773167,Deformation and fracture Laboratory Work,MSE-411
1773177,Déformation et rupture à basse température,MSE-310
1773202,Dessin I,AR-111
1773207,Dessin II,AR-112
1773227,Particle detection,PHYS-440
1773252,Digital photography,COM-203
1773257,Réalisation des infrastructures de transport,CIVIL-405
1773277,Dispositifs et structures analogiques,EE-320
1773287,Distributed algorithms,CS-451
1773292,Distributed information systems,CS-423
1773337,Dynamique des structures,CIVIL-420
1773342,Dynamique des structures - Méthodes numériques,CIVIL-520
1773347,Dynamique moléculaire et simulation Monte-Carlo,CH-351
1773367,Economie des transports,CIVIL-456
1773372,Economie d'innovation,MGT-501
1773402,Two-phase flows and heat transfer,ME-446
1773407,Écoulements souterrains,CIVIL-202
1773412,Écoulements transitoires,ME-443
1773427,Thin film fabrication processes,MSE-465
1773437,Electrochimie des solutions,CH-243
1773442,Electrodynamique classique,PHYS-324
1773452,Electromagnétisme I : lignes et ondes,EE-200
1773457,Electromagnétisme II : calcul des champs,EE-201
1773462,Electromécanique I,EE-360
1773467,Electromécanique II,EE-361
1773472,Electronique II,EE-203; EE-203(A); EE-203(B); EE-203(a); EE-203(b); EE-291
1773477,Electronique III,EE-381
1773482,Electronique de puissance,EE-365
1773492,Electronique I,EE-202; EE-202(A); EE-202(B); EE-202(a); EE-202(b); EE-290
1773497,Electronique industrielle I,EE-465
1773502,Electronique industrielle II,EE-565
1773507,Electrotechnique,EE-281; EE-293
1773512,Electrotechnique I,EE-100(B); EE-100(a); EE-100(b)
1773517,Electrotechnique II,EE-102(A); EE-102(B); EE-102(a); EE-102(b)
1773572,Eléments finis en fluides incompressibles,ME-472
1773592,Energétique du bâtiment,ENG-445
1773597,UE : Environnement et GC,CIVIL-472
1773617,Esthétique des ouvrages de génie civil,CIVIL-476
1773632,Etudes d'impact,ENG-474
1773647,Fabrication assistée par ordinateur,ME-416
1773667,Filtres électriques,EE-334; EE-339; EE-539
1773677,Fonctions et réactions organiques I,CH-104; CH-231
1773682,Fonctions et réactions organiques II,CH-232; CH-233
1773727,Génie parasismique,CIVIL-522
1773732,Génie sanitaire,ENV-303
1773747,Géoinformation,ENV-240
1773752,Géologie de l'environnement,CIVIL-401
1773772,Géomécanique,CIVIL-402
1773777,Géométrie,MATH-121; MATH-122; MATH-123(a); MATH-123(b)
1773787,Géométrie analytique (pour CMS),PREPA-013; PREPA-014
1773792,Géométrie descriptive (pour CMS),PREPA-015; PREPA-016
1773797,Géométrie I,MATH-120; MATH-124
1773802,Géométrie II,MATH-125; MATH-126
1773807,Géométrie riemanienne I ,MATH-422
1773812,Géométrie riemanienne II ,MATH-429
1773817,Géotechnique et fondations,CIVIL-303
1773822,Gestion de la maintenance des infrastructures,CIVIL-455
1773832,Gestion de production I,ME-413
1773877,Gestion des risques,CIVIL-475(a); CIVIL-475(b)
1773887,Gestion du projet d'architecture I,AR-481
1773892,Gestion du projet d'architecture II,ENG-482
1773907,Gestion foncière et droit foncier,ENV-460
1773932,Haute tension,EE-372; EE-571
1773962,Histoire de l'architecture I,AR-123
1773967,Histoire de l'architecture II,AR-124
1773972,Histoire de l'architecture III,AR-223
1773977,Histoire de l'architecture IV,AR-224
1773982,Histoire de l'architecture V,AR-323
1773987,Histoire de l'architecture VI,AR-324
1773992,Histoire des mathématiques I,MATH-190
1773997,Histoire des mathématiques II,MATH-191
1774012,Hydraulique des ouvrages,CIVIL-310
1774027,Hydraulique fluviale et aménagement de cours d'eau,CIVIL-410
1774037,Hydrodynamique,ME-444
1774062,Microwaves,EE-445
1774067,Identification et commande I,ME-421
1774072,Identification et commande II,ME-521
1774082,Industrialisation,MICRO-343
1774097,Information theory and coding,COM-404
1774102,Informatique (pour CMS),PREPA-017; PREPA-018
1774127,Informatique III,CS-114
1774157,Infrastructures de données spatiales,ENV-541
1774162,Computer-aided engineering,ME-417
1774172,Initiation à l'électronique,EE-282; EE-294
1774177,Initiation aux sciences des communications,COM-217
1774182,Instabilité et turbulence,ME-461
1774192,Instruments de gestion économique et financière,MGT-516
1774232,Instruments informatiques,ENV-166
1774237,Intégration à l'environnement,CIVIL-473
1774242,Intelligence artificielle,CS-330
1774252,Introduction à la finance et à la comptabilité,MGT-479
1774262,Introduction à la métrologie,PHYS-104(a); PHYS-104(b)
1774267,Introduction à la physique des astroparticules,PHYS-439
1774287,Introduction à l'architecture,AR-429
1774292,Introduction à l'économie,HUM-246
1774312,Introduction au droit,ENV-268
1774317,Introduction au génie chimique I,ChE-201
1774322,Introduction au génie chimique II,ChE-202
1774327,Introduction au génie chimique TP,ChE-203; ChE-209
1774332,Introduction au génie mécanique I,ME-101
1774337,Introduction au génie mécanique II,ME-102
1774342,Introduction au marketing et à la finance,COM-207
1774347,Introduction au traitement des signaux biomédicaux,EE-390
1774352,Introduction au traitement des signaux,EE-300; EE-350
1774357,Introduction au traitement optique,EE-340
1774372,Introduction aux systèmes de transmission,EE-341; EE-342
1774377,Introduction aux systèmes informatiques,CS-100
1774387,Introduction aux turbomachines,ME-342
1774422,Lasers,MICRO-422
1774442,Capteurs en instrumentation médicale,EE-511; EE-532
1774457,Localisation par satellites,ENV-340
1774462,Logistique et analyse prévisionnelle,MGT-426
1774472,Machines électriques (pour GM),EE-361; EE-382; EE-393
1774487,Management de projet,MGT-427
1774512,Martingales et applications,MATH-330
1774517,Matériaux biomimétiques,MSE-475
1774522,Cementitious materials (advanced),MSE-420
1774532,Matériaux de construction,MSE-322
1774537,Matériaux de construction TP,MSE-325
1774542,Matériaux de l'électrotechnique,EE-362; ENG-307
1774547,Matériaux et structures,CIVIL-532
1774552,Matériaux divisés,MSE-301
1774562,Matériaux I,MSE-170
1774567,Matériaux II,MSE-172; MSE-270
1774572,Matériaux microtechniques I,MSE-207
1774577,Matériaux microtechniques II,MSE-208
1774587,Matériaux TP I,MSE-101
1774592,Matériaux TP II,MSE-201
1774607,Mathématiques (pour CMS),PREPA-019; PREPA-020
1774612,Mathématiques appliquées,MATH-281
1774617,Mathématiques discrètes,MATH-260
1774627,Mathématiques générales I,MATH-187; UNIL-107
1774632,Mathématiques générales II ,MATH-188; UNIL-108
1774642,Mathématiques I,MATH-180; MATH-181; MATH-184
1774647,Mathématiques II,MATH-182; MATH-183; MATH-186
1774652,Mécanique analytique (pour SPH),PHYS-202
1774657,Fracture mechanics,ME-432
1774662,Mécanique des fluides compressibles,ME-343
1774677,Mécanique des fluides incompressibles,ME-344
1774682,Mécanique des matériaux composites,ME-431
1774687,Mécanique des milieux continus,ME-201
1774692,Rock mechanics,CIVIL-201(a); CIVIL-201(b)
1774697,Mécanique des solides,ME-331
1774702,Mécanique des sols,CIVIL-200(a); CIVIL-200(b)
1774712,Mécanique des structures et solides I,CIVIL-120
1774717,Mécanique des structures et solides II,CIVIL-121
1774722,Mécanique des structures et solides III,CIVIL-220
1774727,Mécanique des structures et solides IV,CIVIL-221
1774732,Mécanique des structures et solides V,CIVIL-320
1774747,Mécanique numérique des solides et des structures,ME-473
1774752,Mécanique quantique pour ingénieurs I,PHYS-482
1774757,Mécanique quantique pour ingénieurs II,PHYS-483
1774762,Mécanique vibratoire,ME-332
1774767,Mécatronique,EE-563
1774782,Métaux et alliages,MSE-110(a); MSE-110(b)
1774797,Méthode des éléments finis,ME-372
1774802,Méthodes de conception I,ME-211
1774807,Méthodes de conception II,ME-311
1774812,Méthodes de détection optique,MICRO-523
1774817,Méthodes de développement et de production rapides,ME-415
1774827,Méthodes de production,MICRO-340
1774837,Méthodes de séparation analytiques,CH-301
1774842,Méthodes des différences et volumes finis,ME-371
1774862,Méthodes mathématiques de la physique,MATH-380
1774872,Diffraction methods in structural biology,PHYS-437
1774892,Microcontrôleurs,MICRO-210
1774897,Microcontrôleurs et temps réel,EE-301
1774947,Microscopie électronique TP,MSE-353
1774967,Micro-usinage par Laser,MICRO-520
1774972,Milieux continus,MSE-203
1774997,Modèles stochastiques pour les communications,COM-300
1775002,Modélisation des matériaux,MSE-370
1775007,Modélisation des procédés d'élaboration et des structures,MSE-476
1775012,Modélisation dynamique,MICRO-452; MICRO-456
1775017,Modélisation des systèmes Énergie et Transports,CIVIL-440
1775027,Modélisation et optimisation de systèmes énergétiques,ME-454
1775032,Modélisation et représentation informatique I,AR-411
1775037,Modélisation et simulation de systèmes de production,ME-414
1775042,Numerical flow modelling,ME-474
1775047,Modélisation numérique des solides et structures,CIVIL-321
1775062,Nanomaterials,MSE-477
1775102,Optimisation expérimentale des matériaux,MSE-401
1775137,Optique,MICRO-320
1775152,Optique I,PHYS-317
1775157,Optique II,PHYS-318
1775167,Optique III,PHYS-412; PHYS-449
1775172,Optique intégrée,MICRO-522
1775177,Optique quantique,PHYS-413
1775182,Optique TP,MICRO-423
1775197,Outils informatiques,ENG-302; ENG-308
1775207,Parallélisation de programmes sur grappes de PC,CS-425
1775212,Particules élémentaires I,PHYS-415
1775217,Particules élémentaires II,PHYS-416
1775227,Périphériques,CS-475
1775232,Phénomènes de transfert,MSE-209
1775242,Phénomènes non linéaires et chaos I,PHYS-417
1775247,Phénomènes non linéaires et chaos II,PHYS-418
1775257,Photochemistry I,CH-442
1775267,Photo-interprétation,ENV-241
1775277,Physique (pour CMS),PREPA-021; PREPA-022
1775287,Physique des matériaux I,PHYS-307
1775302,Physique des plasmas I,PHYS-325
1775332,Physique du bâtiment I,AR-133; PHYS-115
1775337,Physique du bâtiment II,AR-134; PHYS-116
1775342,Physique du bâtiment III,AR-233; PHYS-217
1775347,Physique du bâtiment IV,AR-234; PHYS-218
1775352,Physique du bâtiment V,AR-333; PHYS-335
1775357,Physique du bâtiment VI,AR-334; PHYS-336
1775372,Physique du solide I,PHYS-309
1775377,Physique du solide II,PHYS-310
1775382,Physique du solide III,PHYS-419
1775402,Physique expérimentale I (pour PHA),UNIL-101(j); UNIL-101(k); UNIL-109; UNIL-122
1775412,Physique expérimentale TP (pour PHA),UNIL-109(a); UNIL-109(b); UNIL-111; UNIL-124
1775417,Physique expérimentale II (pour PHA et SFU),UNIL-106(j); UNIL-106(k); UNIL-110; UNIL-123
1775427,Physique générale I,(PHYS-101(a)); (PHYS-101(b)); (PHYS-101(c)); (PHYS-101(d)); (PHYS-101(e)); (PHYS-101(f)); (PHYS-101(g)); (PHYS-101(h)); (PHYS-101(i)); PHYS-101(a); PHYS-101(b); PHYS-101(c); PHYS-101(d); PHYS-101(e); PHYS-101(f); PHYS-101(g); PHYS-101(h); PHYS-101(i); PHYS-102; PHYS-205
1775437,Physique générale II,(PHYS-106(a)); (PHYS-106(b)); (PHYS-106(c)); (PHYS-106(d)); (PHYS-106(e)); (PHYS-106(f)); (PHYS-106(h)); (PHYS-106(i)); (PHYS-114); PHYS-106(a); PHYS-106(b); PHYS-106(c); PHYS-106(d); PHYS-106(e); PHYS-106(f); PHYS-106(g); PHYS-106(h); PHYS-106(i); PHYS-106(j); PHYS-114; PHYS-206(h); PHYS-208
1775452,Physique générale III,PHYS-201(a); PHYS-201(b); PHYS-201(c); PHYS-201(d); PHYS-201(e)
1775462,Physique générale IV,PHYS-207(a); PHYS-207(b); PHYS-207(c); PHYS-327
1775477,Physique III,PHYS-200
1775482,Physique IV,PHYS-206
1775497,Physique nucléaire et corpusculaire I,PHYS-311
1775502,Physique nucléaire et corpusculaire II,PHYS-312
1775507,Physique quantique I,PHYS-313
1775512,Physique quantique II,PHYS-314
1775517,Quantum physics III,PHYS-425
1775522,Quantum physics IV,PHYS-426
1775532,Physique statistique I,PHYS-315
1775537,Physique statistique II,PHYS-316
1775602,Ponts en béton,CIVIL-430
1775607,Ponts en métal,CIVIL-431
1775627,Principles of digital communications,COM-302
1775637,Probabilités,MATH-230
1775642,Probabilités et statistique,MATH-131; MATH-232; MATH-233; MATH-234(a); MATH-234(b); MATH-234(c); MATH-234(d)
1775647,Probabilités et statistique I,MATH-231
1775652,Probabilités et statistique II,MATH-236
1775667,Procédés de production,ME-212
1775692,Programmation,CS-111(a); CS-111(b); CS-111(d); CS-111(f); CS-115
1775697,Programmation I,CS-111; CS-111(c); CS-111(e); CS-111(g); CS-111(i)
1775702,Programmation II,CS-112(c); CS-112(e); CS-112(g); CS-112(i); CS-113
1775712,Programmation Internet,CS-325
1775757,Projet de conception,ME-313
1775777,Projet de construction de dispositifs électroniques,ENG-304; ENG-309
1775782,Projet ENAC,CIVIL-494; CIVIL-495; ENV-494; PENS-490
1775792,Projet de programmation,ENG-208; ENG-209
1775867,Projet Génie mécanique II,ME-402; ME-501
1775897,Projet Matériaux I,MSE-390
1775902,Projet Matériaux II,MSE-391
1775907,Projet microtechnique I,MICRO-498
1775912,Projet microtechnique II,MICRO-499
1775967,Propagation d'ondes acoustiques,EE-549
1775972,Propagation d'ondes électromagnétiques,EE-545
1775982,Dielectric and optical properties of materials,MSE-480
1776002,Rayonnement et antennes,EE-345
1776027,Recyclage des matériaux,MSE-463
1776052,Neural networks and biological modeling,BIO-465
1776057,Réseaux électriques,EE-370
1776062,Réseaux hydrauliques et énergétiques,CIVIL-445
1776067,Computer networks,COM-208
1776072,Résistance des matériaux,MSE-205
1776082,Résonance magnétique nucléaire,CH-302; CH-409
1776087,Ressources humaines dans les projets,MGT-365
1776092,Rhéologie,MSE-206
1776097,Robotique/Microrobotique I,MICRO-450
1776102,Robotique TP,MICRO-453
1776107,Mobile robots,MICRO-452; MICRO-454; MICRO-552
1776112,Sciences du vivant,BIO-108
1776117,Sécurité des procédés chimiques,ENG-431
1776122,Sécurité et fiabilité II,CIVIL-439
1776307,Signaux et systèmes I (pour MT),MICRO-310(a)
1776312,Signaux et systèmes II (pour MT),MICRO-311(a)
1776317,Simulation multi-corps assistée par ordinateur,ME-475
1776332,Sociologie et économie du logement I,AR-381
1776337,Sociologie et économie du logement II,AR-382
1776342,Sociologie urbaine,AR-489
1776347,Software-defined radio: a hands-on course,COM-511
1776352,Solidification,MSE-467
1776367,Statique,ME-103
1776372,Statique et dynamique,MICRO-102
1776377,Statistique,MATH-240
1776397,Structure de la matière condensée,PHYS-212
1776412,Structures 3D à parois minces,CIVIL-421
1776422,Structures en béton I,CIVIL-230
1776427,Structures en béton II,CIVIL-231
1776442,Structures en métal I,CIVIL-232
1776447,Structures en métal II,CIVIL-233
1776457,Structures I,CIVIL-122
1776462,Structures II,CIVIL-123
1776467,Structures III,AR-235
1776477,"Structures en métal, chapitres choisis",CIVIL-526
1776482,Structures V,AR-335
1776512,Synthèse asymétrique,CH-331
1776532,Systèmes de mesures informatisées,EE-391
1776537,Systèmes de transports I,CIVIL-352
1776542,Systèmes de transports II,CIVIL-453
1776557,Systèmes dynamiques,ME-221
1776577,Systèmes et entraînements électriques,EE-383; EE-394
1776587,Systèmes hydrauliques urbains,CIVIL-413
1776592,Systèmes logiques,CS-171; CS-172; EE-110
1776597,Systèmes mécaniques,ME-202
1776602,Systèmes mécatroniques I,ME-422
1776607,Systèmes mécatroniques II,ME-522
1776612,Systèmes microprogrammés,CS-278
1776617,Systèmes multivariables I,ME-423
1776622,Systèmes multivariables II,ME-523
1776627,Systèmes vibratoires,MICRO-300
1776642,Techniques d'assemblage,MICRO-440; MSE-464
1776647,Techniques d'assemblage I,MICRO-440
1776662,Techniques de mesure,ME-301
1776677,Techniques ferroviaires,EE-564
1776682,Technologie chimique et biologique de l'environnement,ChE-404
1776687,Integrated circuits technology,EE-531; EE-532
1776697,Technologie des matériaux,MSE-102
1776702,Technologie des microstructures I,MICRO-331
1776707,Technologie des microstructures II,MICRO-431
1776722,Technologie des SIG I,ENV-544
1776727,Technologie des SIG II,ENV-545
1776737,Technologie et mise en oeuvre des polymères,MSE-360
1776742,Space technology and operations,EE-585
1776747,Technologies des capteurs et des actionneurs intégrés,MICRO-532
1776752,Technology strategy and entrepreneurship in corporations,MGT-503
1776767,Télédétection,ENV-341
1776777,Théorie de l'architecture I,AR-121
1776782,Théorie de l'architecture II,AR-122
1776787,Théorie de l'architecture III,AR-221
1776792,Théorie de l'architecture IV,AR-222
1776797,Théorie de l'architecture V,AR-321
1776802,Théorie de l'architecture VI,AR-201(n); AR-322
1776807,Théorie de l'information,CS-351
1776882,Thermodynamique chimique I,CH-241
1776887,Thermodynamique chimique II,CH-242
1776892,Thermodynamique et énergétique I,ME-251
1776897,Thermodynamique et énergétique II,ME-351
1776912,Topologie,MATH-225
1776917,Topologie algébrique,MATH-323
1776927,Topométrie,ENV-242
1776942,TP de physique générale,PHYS-108(a); PHYS-108(b); PHYS-110
1776957,TP en salle blanche,MICRO-332
1776962,TP I d'électromécanique,EE-396
1776967,TP I d'électronique,EE-397
1776972,TP II d'électromécanique,EE-398
1776977,TP II d'électronique,EE-395
1776982,Traitement automatique de la parole,EE-554; EE-592
1776992,Speech processing,EE-553
1777012,Traitement des eaux usées industrielles,ENV-404
1777022,Traitement des signaux biomédicaux,EE-554
1777052,Transducteurs et entraînements directs,EE-561
1777057,Transducteurs et entraînements intégrés,EE-461; MICRO-569
1777067,Transformations de phase,MSE-302
1777082,Transport et télématique,CIVIL-454
1777087,Travaux de fondation I,CIVIL-300
1777092,Travaux de fondation II,CIVIL-301
1777117,Tunnel engineering,CIVIL-302
1777122,Tribologie,MSE-485
1777127,Hydraulic turbomachines,ME-453
1777132,Turbomachines thermiques,ME-455
1777137,Turbomachines transsoniques et phénomènes instationnaires,ME-542
1777162,UE D : Territoire et société,AR-466
1777212,UE K : Construction et critères environnementaux,AR-440
1777227,Ville et mobilité,AR-458
1777232,Ville et transport I,CIVIL-250
1777237,Ville et transport II,CIVIL-451
1777242,Viscoélasticité et élastoplasticité,ME-433
2182767,"Environnement naturel, architectural et construit: questions d'histoire",AR-428
2182821,Modélisation et représentation informatique II,AR-412
2207995,Physique générale I (allemand),PHYS-101(de); PHYS-103
2208004,Physique générale II (allemand),PHYS-106(de); PHYS-107
2208445,"Organisation, économie et droit de la construction I",ENG-470
2208536,Géologie de la construction,CIVIL-403
2208772,"Organisation, économie et droit de la construction II",ENG-471
2208875,Navigation dans les transports,ENV-442
2208882,Techniques de navigation,ENV-543
2208922,Management de projet SIG,ENV-542
2211223,Génie des procédés,ENV-201
2211238,Informatique de l'ingénieur,ENG-266
2214296,Projet SIE/ENAC,ENV-597
2214318,Droit : contrats et responsabilité professionnelle,ENV-466
2220051,"Chimie organique et des polymères, Inorganic chemistry",CH-262
2220109,"Polymères, structures, propriétés",MSE-230
2220183,Céramiques Procédés TP,MSE-323
2220213,Composites polymères TP,MSE-341
2220238,Technologie et mise en oeuvre des polymères TP,MSE-361
2222118,Projet d'électricité I,EE-399
2222268,Nanoelectronics,EE-535
2225783,Photonique appliquée I,MICRO-420
2225790,Photonique appliquée II,MICRO-421
2226230,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO-510
2228866,TP de Mathématiques,MATH-280
2228993,Corrélations et prévisions,MATH-340
2229035,Equations différentielles ordinaires,MATH-301
2229099,Histoire des mathématiques V,MATH-390
2229107,Histoire des mathématiques VI,MATH-391
2229166,Regression models,MATH-341
2229173,Probabilités avancées,MATH-331
2229348,Calcul des variations,MATH-402; MATH-437
2229369,Contrôle stochastique,MATH-433
